year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1413,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1413,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1413,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1413,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1413,1138155568.9025242,49.56683809052222,18288108771.90296,112706913632.41548
2019,1413,1181050714.1407242,47.07724308883453,19673889815.35201,117807059171.31903
2020,1413,1225562504.357238,42.931168463218334,20370027430.386547,124152280026.83119
2021,1413,1271751868.148329,41.12930219164077,22152215089.158333,125199357092.07808
2022,1413,1319319951.4899757,38.09858239940817,23833113356.623608,128783558368.3891
2023,1413,1366974205.2131824,36.156164469679126,25486638874.726974,132932384337.10194
2024,1413,1420975334.4153237,37.161543029691394,26483761706.48591,129137441003.98283
2025,1413,1472068753.7202523,35.14149770766913,28200315467.752167,133426922238.1848
2026,1413,1522323152.4920506,33.0110695628489,30096873600.845757,137855422056.8224
2027,1413,1567363875.3993702,30.621443970664224,32044991263.315926,142175755300.56378
2028,1413,1621072256.1501567,28.738262210298473,34063070694.974857,146686414087.7386
2029,1413,1676721090.6163967,26.918098693205692,36138096459.43008,150994218293.71426
2030,1413,1737283638.661914,28.49910531252412,38567956675.72166,155220008773.08395
2031,1413,1797350649.2179282,26.745122697211542,41009514272.57936,160119313955.25757
2032,1413,1856599690.2885003,24.909700978237932,43510219852.08096,164961354132.17035
