year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,722,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,722,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,722,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,722,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,722,1136113020.6028914,54.187682101396106,13350339994.693552,107496518107.55875
2019,722,1176815460.9395478,59.26653600143942,14008722391.416513,104729439531.72847
2020,722,1218976108.883472,51.42922741650635,14289344663.612425,106507690887.11935
2021,722,1262647206.2513292,48.32084654302012,14777871434.011606,98503787383.09569
2022,722,1307882866.477649,47.4882785310369,15499323036.457657,97825722990.0672
2023,722,1354739141.6675005,46.2583271388581,16258771393.334185,97443436902.1368
2024,722,1403274092.0513914,45.65811877843618,17269804897.712833,99037872752.81265
2025,722,1453547857.9284759,43.72754702382921,17934624030.74269,102664528851.40106
2026,722,1505622734.187189,43.484094822491834,18870573880.036938,106481041756.99507
2027,722,1559563247.4956696,40.85857239338749,19827747953.316643,110693431437.72002
2028,722,1615436236.257607,40.54905239710631,20724739207.485985,114108461158.4901
2029,722,1673310933.432591,40.18255695783708,22176539705.60329,113271302391.41856
2030,722,1733259052.323593,39.65585920585284,23540651871.052677,112809135350.4351
2031,722,1795354875.437858,39.56922626274573,24856917320.44546,112880101477.82619
2032,722,1859675346.531356,38.66906460241725,25830400278.475258,117517992201.6653
