year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,570,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,570,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,570,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,570,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,570,1138646611.3970766,53.84460068523175,18035296416.499165,107857031147.71065
2019,570,1182070032.0790293,58.55855989101693,19243998832.63892,106427201979.4213
2020,570,1227149448.0845957,50.420644115938515,19765706710.09937,108610884476.26973
2021,570,1273948012.4419982,47.00513732690721,21566180590.47978,111140817322.02652
2022,570,1322531286.5829818,45.85469126814724,23070210621.443546,111832146203.3487
2023,570,1372967332.1896825,44.31652955195494,24707652362.11465,113365031068.58711
2024,570,1425326806.5441542,43.40449042301227,26668106510.978497,116761103470.25089
2025,570,1479683061.5141585,41.188929937481895,28441823003.442657,120680970132.82008
2026,570,1536112246.31387,40.636151868079594,30630051943.64167,125200765700.17174
2027,570,1594693414.1834562,37.75554012174744,32926446192.976288,129736354588.9434
2028,570,1655508633.137005,37.14699378143623,35213472302.253334,133955364275.30966
2029,570,1718643100.9339204,36.48500093278233,37542370323.91211,130678014767.73497
2030,570,1784185264.4348702,35.66964541389409,39911596105.69486,130924911773.60826
2031,570,1852226943.509502,35.28379538477683,42357772340.149956,131893629183.74962
2032,570,1922863459.6694868,34.11219578326441,45165214044.64274,137319825234.08295
