year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,945,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,945,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,945,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,945,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,945,1141289389.6137462,53.48835698127441,16662304214.279688,108250549372.87149
2019,945,1187563526.2229917,57.82509132196553,17456129596.959774,106222398302.10617
2020,945,1235713870.3379042,49.37811643801314,17680623608.483925,108811977738.05853
2021,945,1285816493.7096226,45.64823474621675,18424387342.288906,102477948326.55588
2022,945,1337950552.4556494,44.17378291222057,19413028725.16368,102926713339.1708
2023,945,1392198412.1169946,42.32301864827156,20388012864.59607,102883311044.59117
2024,945,1448645777.7858188,41.09609644611399,21773558904.56959,105789587499.35526
2025,945,1507381829.5091724,38.59452463336859,22938526052.929485,110860784804.78087
2026,945,1568499363.182739,37.73223007285661,24398774069.71454,116033649956.00648
2027,945,1632094937.1571865,34.598697415282906,26052246737.556145,122587184325.99135
2028,945,1698269024.788749,33.69379580022525,27541356516.877064,127423954611.50537
2029,945,1767126173.1750333,32.74038311176762,29340636064.918896,127300327956.7423
2030,945,1838775168.326869,31.641859400803064,31154273126.30251,128182316926.01521
2031,945,1913329207.0371068,30.963500640823323,32907287782.18044,129329243511.11139
2032,945,1990906075.71794,29.528682398884847,34753814497.24946,135979897112.9947
