year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1267,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1267,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1267,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1267,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1267,1120189065.8293514,51.965712653905506,10476604221.794264,109849840387.08199
2019,1267,1144057755.6336102,51.832966586301374,10539910323.643303,105264938449.63477
2020,1267,1168435033.1132448,49.919401428552085,10598043884.31181,108747062149.0563
2021,1267,1193331735.1187766,50.40365426536214,10784381891.627394,105586545392.29768
2022,1267,1218758929.4094477,49.53426245274981,10938454400.9834,105466125608.81693
2023,1267,1244727919.57336,49.79561480218799,11014644047.973265,105512722147.05444
2024,1267,1271250250.0524561,53.3219914875455,11275032450.450018,96854214463.41695
2025,1267,1298337711.2745693,53.48682966864683,11351985280.802567,97432455557.20567
2026,1267,1326002344.8948236,53.49013644893105,11493738930.83946,98466645119.52458
2027,1267,1354256449.148717,53.15016370680738,11735542166.942553,100512107934.6776
2028,1267,1383112584.31927,53.3631167223148,11826185971.447481,101101647371.00859
2029,1267,1412583578.320663,53.61978022193765,11884417723.338953,100320113028.65439
2030,1267,1442682532.4008496,58.02797838398812,12209128604.665998,99884361781.91289
2031,1267,1473422826.9656813,58.37091835760505,12311961786.107492,100309689862.01419
2032,1267,1504818127.527128,58.580815231890085,12424134028.096512,101081860953.70038
