year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,772,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,772,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,772,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,772,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,772,1139506026.3131242,53.72857115881492,16248092834.043554,107985000808.69339
2019,772,1183855084.5926301,58.31948049728874,17664405735.205486,106675154493.24449
2020,772,1229930188.1275914,50.08055919695364,18576810439.24895,108990846453.07614
2021,772,1277798513.817346,46.56215396345859,20427376299.572937,111665501658.53796
2022,772,1327529853.0557218,45.30550258663727,22107730146.007584,112526471503.57632
2023,772,1379196713.4859762,43.66469890216704,23906607662.83615,114116884402.05965
2024,772,1432874424.7159872,42.649112059654456,25987664449.178726,117653345673.41446
2025,772,1488641248.1478457,40.33929824377181,27978092082.417778,121815448443.26259
2026,772,1546578491.0819573,39.68441718588858,30392064529.877113,126522649848.04942
2027,772,1606770625.262017,36.72010749114396,32909782026.704235,131204206289.58853
2028,772,1669305410.0337162,36.0134765329545,35454889364.32102,135634263199.90637
2029,772,1734274020.2967207,35.254868889723106,38308885336.23814,132716924968.92741
2030,772,1801771179.4364827,34.34546236569272,40947487868.97241,133475628696.7081
2031,772,1871895297.4296994,33.86234324963395,43670618495.91334,134641649024.31644
2032,772,1944748614.3247793,32.602969282595694,46820732825.62375,140440483907.9201
