year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1084,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1084,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1084,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1084,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1084,1143145025.664813,48.91402741911075,15001165478.120775,113518145695.59679
2019,1084,1191428413.0986733,45.79615617202066,16540055847.805347,119489599081.00838
2020,1084,1241751161.6369853,41.06778087613166,17840148872.37444,126832800934.0018
2021,1084,1294199408.4365509,38.681452442874054,19731811427.848038,128907231866.689
2022,1084,1343866344.8955555,35.11099884059155,21494023490.89842,132666217990.37772
2023,1084,1394745554.5052586,32.62918158550295,23300160243.150867,137163172626.47076
2024,1084,1456828564.7846425,33.02535908428648,24741279151.585716,134510742338.3723
2025,1084,1511557844.6821775,30.49416784897995,26647094945.108223,139255742718.20462
2026,1084,1566065779.8791974,27.87641639163737,28762898636.54524,144567790545.3257
2027,1084,1617665878.7312236,25.030926283762195,31157772746.482674,150735523054.63336
2028,1084,1674966111.5376158,22.6904918506712,33454756316.230453,155998681984.34396
2029,1084,1733529020.4461794,20.42790168825867,35811189474.69461,160912950199.6546
2030,1084,1797308058.0496457,21.39588416004652,38547193383.14713,166348081372.9314
2031,1084,1858091264.6599834,19.216237615949762,41126918198.960915,171512454812.92548
2032,1084,1920032133.7845578,16.97703819555077,43860225996.54536,176941040189.68164
