year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,498,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,498,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,498,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,498,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,498,1123524926.7659547,46.811010202046845,11278829884.977995,106024000333.65433
2019,498,1150881782.4569557,48.39887759073425,11765323638.98073,95717840468.95992
2020,498,1178904753.8125668,51.635852025630335,12188004651.26372,95083034891.8071
2021,498,1207610060.170406,52.305537279005385,12418886856.15622,95419613964.72859
2022,498,1237014315.7948697,49.89746718804155,12571969634.532953,98511813871.3064
2023,498,1267134539.4932544,52.4122355311283,12973148847.340166,98142230209.29016
2024,498,1297988164.4660282,54.724554204948625,13379837074.92627,97884696791.88794
2025,498,1329593048.39694,56.83906848911613,13774844495.41665,97858425880.18153
2026,498,1361967483.7888227,58.765633411834514,14178256979.831429,98351953317.5388
2027,498,1395130208.5510545,58.82376430647306,14525538636.298683,99768340411.97284
2028,498,1429100416.8448293,58.78556483708216,14868508379.585783,101341863184.89224
2029,498,1463897770.1924844,58.66161260647097,15178282245.323061,102688377953.70451
2030,498,1499542408.8573434,58.45227608160577,15502353618.603521,104476307139.40495
2031,498,1536054963.5006387,58.16573842099794,15835672062.50661,106668242019.54675
2032,498,1573456567.1222785,57.79937142367132,16144629293.22108,108608902015.66931
