year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,549,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,549,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,549,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,549,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,549,1115101563.8164024,57.09298501245526,13751998370.34787,104515754034.0644
2019,549,1133689543.2971237,65.32508664733892,14621327024.717928,100187924290.55635
2020,549,1152587371.6672978,60.1515121065252,15034899319.729454,99220933720.3158
2021,549,1171800213.8957372,59.81982277828779,15943460655.283829,98524419741.06627
2022,549,1191333321.047746,61.917230962177904,16878310929.678724,96705148469.36801
2023,549,1211192031.720294,63.59245716667572,17914641023.58442,96028094108.8332
2024,549,1231381773.5011034,65.99097759712016,19016284381.60222,96042876937.1223
2025,549,1251908064.452069,66.87716457297397,19811060778.642776,96219708238.14241
2026,549,1272776514.617401,69.7335806231105,20919744159.618973,96938074514.22635
2027,549,1293992827.556899,69.76744223087734,21932489727.132652,96801963952.9767
2028,549,1315562801.9048052,72.58623600881059,22957409992.975296,96943699235.94467
2029,549,1337492332.9546187,75.37970084352243,24343947250.009468,89463451199.67888
2030,549,1359787414.2703483,78.01295970110243,25454558834.312485,85320258190.98729
2031,549,1382454139.3246083,81.25468592710658,26543484517.603428,81958130575.30022
2032,549,1405498703.1640277,83.47896030579534,27520728015.650135,82259187189.94852
