year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1171,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1171,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1171,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1171,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1171,1141733749.3804016,49.09809733508444,12276120493.736216,113288687334.40305
2019,1171,1188488459.3503346,46.1568108779701,12829384094.302397,118367692133.78586
2020,1171,1237157803.88858,41.591541694922164,13264639096.314426,123470196894.51814
2021,1171,1287820188.4762642,39.36841130363851,14055727724.581503,125492497228.20795
2022,1171,1337155870.632228,35.948106971600744,14803152733.25218,130260990362.75836
2023,1171,1387354551.6396828,33.61586934664659,15414722245.266134,135027132929.54027
2024,1171,1447847064.348698,34.18064767938364,16054983543.270378,130982466610.26273
2025,1171,1500866320.254934,31.79017606749386,16641216006.577724,135966153007.77922
2026,1171,1553537512.877796,29.30606184783151,17330077774.950962,141604082700.045
2027,1171,1603410436.837927,26.585035733064732,18211557870.14926,148004944772.67328
2028,1171,1661429850.344017,24.369050696098423,18972800326.637787,153587719448.58075
2029,1171,1719104139.8754013,22.226400788276905,19640651762.93041,158522743169.0271
2030,1171,1783308859.4171627,23.361135543277282,20619353817.1249,163354059486.35303
2031,1171,1842919256.9379272,21.295949792995454,21361884964.25731,168209825709.1384
2032,1171,1903100243.1246636,19.16480341743393,22116587124.60347,173387204151.24854
