year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1490,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1490,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1490,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1490,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1490,1142334679.111421,49.019663684101566,11696071285.638876,113386392052.32072
2019,1490,1189739864.947882,46.003078573421064,12390090609.093845,119215834187.20575
2020,1490,1239112295.3102093,41.36820483137444,13087329116.734907,126394780801.0626
2021,1490,1290533607.912848,39.07538138658839,13998894801.586895,128302473424.3592
2022,1490,1340173294.0239205,35.59090275722083,14868032848.704351,132081504184.08667
2023,1490,1390496104.006701,33.194688618386984,15626820132.173948,136613447807.29028
2024,1490,1451663303.2079487,33.68732290391242,16462751688.236038,133897895857.18018
2025,1490,1505407534.2007527,31.2365661747726,17231403491.163006,138469795837.69498
2026,1490,1558856990.2001584,28.695150720827012,18107740899.28814,143572484528.34256
2027,1490,1609564627.3848293,25.920704236244596,19180829676.49303,149485291843.72067
2028,1490,1667173233.808581,23.651267439723632,20128224185.58462,154820596090.00256
2029,1490,1725627943.5177994,21.45705701679508,21064405612.775368,159742037620.0842
2030,1490,1789517186.9286723,22.52016313408812,22270323285.83353,164501433760.75067
2031,1490,1849349812.4720905,20.405682853099574,23248976771.978825,169453065381.29547
2032,1490,1910274158.5616055,18.227951273627806,24272725101.96449,174774769305.47284
