year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,921,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,921,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,921,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,921,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,921,1122563777.4836214,56.048713458983315,11518949063.73207,105574371655.58444
2019,921,1148913519.854166,63.1344037108812,12595308407.263058,102038509998.19127
2020,921,1175881765.0990436,56.97888672663921,13426712514.136189,101927090595.98569
2021,921,1203483031.2275808,55.61241634238048,14348127407.836988,102044854973.95207
2022,921,1231732177.0277908,56.60660336283,15425974383.780302,100976043965.61475
2023,921,1260644410.0654075,57.17507568969475,16618216701.032564,101256111953.12962
2024,921,1290235294.8706825,58.41937140559333,17843948992.813515,102264766969.84384
2025,921,1320520761.3173516,58.20642448164748,18816308135.534683,103473321017.97023
2026,921,1351517113.1982827,59.844750058536434,20109214988.161785,105258706403.23021
2027,921,1383241037.0024056,58.813863038285106,21330494639.398182,106223979641.17296
2028,921,1415709610.8976762,60.37754527214641,22570631092.36387,107476248290.3037
2029,921,1448940313.9248853,61.890039900046766,24473259354.22846,101134592634.45848
2030,921,1482951035.407279,63.228438700334,25877321055.117504,98169175414.75285
2031,921,1517760084.5810447,65.09611326422396,27269687523.17884,96054824914.99947
2032,921,1553386200.4518566,66.01115723357542,28536518628.445274,97635247248.48828
