year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,584,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,584,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,584,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,584,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,584,1133436034.563162,54.551847576903334,11609437084.75206,107116750826.61502
2019,584,1171276210.8705919,60.019746185630375,12820462371.152864,104952835819.69394
2020,584,1210379695.2953875,52.50471494596189,13840749539.767109,106315175705.38028
2021,584,1250788663.84081,49.72705456196194,14967191448.300352,107969940647.25926
2022,584,1292546700.5714073,49.23823828705803,16216474723.363546,107903667001.64973
2023,584,1335698844.6216545,48.34322973899557,17590570136.327633,109190733831.48076
2024,584,1380291638.7739904,48.083389507651795,19080351015.771572,111785364131.68105
2025,584,1426373179.658659,46.46578544879546,20359636532.186832,114663851190.01332
2026,584,1473993169.6294887,46.5630367970548,21997914156.66649,118206658148.90529
2027,584,1523202970.3715534,44.22099803668957,23603955757.458572,121035501312.1002
2028,584,1574055658.2985587,44.24396686161495,25266392526.38224,124213938536.29004
2029,584,1626606081.7996814,44.20762829963002,27645611804.10552,119899148199.43793
2030,584,1680910920.3976204,44.00512200927014,29540105366.38007,119029006739.08133
2031,584,1737028745.881654,44.25569607066384,31468450137.376358,119085403055.90047
2032,584,1795020085.48166,43.66381905887263,33345290423.557575,122974442974.41985
