year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1219,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1219,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1219,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1219,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1219,1125287493.8421957,51.277189720320685,15426266796.673944,110649074516.29085
2019,1219,1154495582.9760466,50.46024042477513,16395906474.810835,113564743172.3313
2020,1219,1184461800.5664194,47.890865445149714,16942074816.123362,117548261432.4705
2021,1219,1215205824.6810577,47.696340872786614,18117440111.58272,116142513388.92972
2022,1219,1246747844.1538484,46.17728714873607,19188849828.867188,117108725748.35983
2023,1219,1279108571.8423302,45.769317850309335,20294996270.63202,118946136443.52864
2024,1219,1312309258.229307,48.524914226448985,20839770932.661236,112217833662.46309
2025,1219,1346371705.3775144,48.010938098928875,21942120204.033115,114081536590.71422
2026,1219,1381318281.2464848,47.34350772933188,23171272935.33047,116269184120.84938
2027,1219,1417171934.3810346,46.35104736159753,24589264011.520763,119181330623.2803
2028,1219,1453956208.980995,45.890540168140184,25841806038.86516,120924192489.1298
2029,1219,1491695260.362106,45.47259390906827,27091380808.118546,122547746239.29733
2030,1219,1530413870.8182073,48.96898701219382,28627478353.97044,123902342232.88225
2031,1219,1570137465.8951535,48.61585772210051,30058709245.60334,125891543765.75717
2032,1219,1610892131.0871358,48.13858782582267,31572897070.752613,128137074424.27202
