year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1294,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1294,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1294,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1294,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1294,1136706448.458327,49.75751208832074,16458106934.008411,112471302217.43549
2019,1294,1178045158.071895,47.45248243982502,17711616246.658867,117319767329.73584
2020,1294,1220887236.4002542,43.47850935764904,18475339051.57125,123406616822.63823
2021,1294,1265287356.5939171,41.85034946989693,20047171434.870678,124156237488.35872
2022,1294,1311302180.1069655,38.98109862219441,21558140334.891586,127479957942.72745
2023,1294,1358064302.376121,37.20095446907179,23094341928.67876,131524273335.16019
2024,1294,1408412960.9080102,38.390248760152645,23978304457.161118,127182410510.06738
2025,1294,1459292807.9170473,36.52593499849906,25613954561.90295,131483376351.36635
2026,1294,1508940432.8931284,34.544987127764394,27343942947.119606,135835457454.20465
2027,1294,1553052972.8895643,32.296245758824554,29130061849.864723,139945076700.07587
2028,1294,1604747353.8052244,30.55514341357068,30913287327.69162,144008478410.0825
2029,1294,1658252655.612789,28.873375889910168,32734306476.59671,147875098248.9121
2030,1294,1716535305.988258,30.645078909331936,34905248934.26052,151513013831.87604
2031,1294,1774178893.2541668,29.026082621714817,37017270431.75443,155953480453.35822
2032,1294,1833287132.6200273,27.31973567274324,39299758128.81581,160891994759.09195
