year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1145,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1145,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1145,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1145,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1145,1137815585.9569309,49.61152914134334,13728027388.880756,112651636058.21448
2019,1145,1180345226.8781886,47.16515052408758,14322971015.092955,117047427045.75598
2020,1145,1224464554.5458887,43.05933162553081,14582575712.646797,120787444517.58775
2021,1145,1270232988.7881105,41.2980573618442,15429598142.790537,121797322175.77528
2022,1145,1317636889.065433,38.30502723153842,16295270591.049456,126190210210.42853
2023,1145,1364878725.1546373,36.40045028077778,16990244794.573727,130404959827.67357
2024,1145,1418060945.6571896,37.44869049105139,17455117324.982048,124731062867.337
2025,1145,1469061109.9076383,35.46488145733328,18180672842.00213,129287476397.71825
2026,1145,1519397900.0201573,33.36919459222301,19052636046.988956,134490179951.90689
2027,1145,1563991600.8842163,31.012270256573153,19984909925.83612,140344020770.45074
2028,1145,1617223524.0344095,29.162036418610565,20777380700.28544,144957101341.27908
2029,1145,1672364885.446179,27.373929747454,21577967632.863445,149316139233.00494
2030,1145,1732387287.9559228,28.999148455797503,22583451919.331932,152421886755.2973
2031,1145,1791879742.7722414,27.276359593095485,23525210615.6157,157564446197.8464
2032,1145,1851644226.6272817,25.47072478114182,24518011000.428318,162882061788.35382
