year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1005,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1005,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1005,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1005,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1005,1134168352.504694,54.452055433499304,13341924543.58865,107220640196.71794
2019,1005,1172790233.1081789,59.81316750912152,13948087821.456553,104182274538.99567
2020,1005,1212727306.1679296,52.20949463954992,13911211489.523699,95297226834.12404
2021,1005,1254024357.9856493,49.34072159268179,14565502379.387484,97005193142.03381
2022,1005,1296727699.9727755,48.75705400684837,15222360805.380747,95982733992.65242
2023,1005,1340885220.5851073,47.769456720061456,15927672206.418379,95484424762.23827
2024,1005,1386546439.0259573,47.41537580401031,16869958519.421495,96651969965.56664
2025,1005,1433762560.7780635,45.71092440050109,17450990383.377056,99820044390.75172
2026,1005,1482586535.0265324,45.713528387837364,18304965123.85784,103314757609.66257
2027,1005,1533073114.037202,43.29248265331235,19158817713.992832,106877032706.93806
2028,1005,1585278914.557028,43.22276675041651,19966540329.041275,109941303944.49142
2029,1005,1639262481.3053265,43.09423164940679,21336294627.242188,108812651739.46416
2030,1005,1695084352.6271033,42.801024505606755,22608825783.04064,107678225058.64827
2031,1005,1752807128.3820632,42.95713816682488,23802233229.69059,106562470937.59976
2032,1005,1812495540.145456,42.27866223989933,24633719445.103886,110227722760.20534
