year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,601,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,601,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,601,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,601,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,601,1123039619.9403925,55.982594150394505,14781810597.180643,105641876451.38226
2019,601,1149887749.9394846,62.99618983387103,15631453575.276567,102165375891.53194
2020,601,1177377729.1410894,56.779430966528324,15964710947.117058,102108935967.65797
2021,601,1205524902.0179417,55.34884613573018,16979443638.52393,102277064443.78279
2022,601,1234344979.8779178,56.27510594007904,17967413126.477898,101252264854.90675
2023,601,1263854049.6338441,56.77591936127867,19102136399.43447,101595429363.11226
2024,601,1294068582.7829509,57.950101793798616,20348686189.598297,102670015378.07631
2025,601,1325005444.6010065,57.670950676516576,21276036815.549534,103947433791.05757
2026,601,1356681903.5562496,59.236232600088826,22535338124.66702,105804718891.54903
2027,601,1389115640.9483712,58.14223533575502,23719200483.921005,106845032364.73155
2028,601,1422324760.777942,59.631638620824326,24932221317.30974,108173608671.75316
2029,601,1456327799.8517756,61.06882341871137,26409402084.274647,101913241493.55562
2030,601,1491143738.1298826,62.33162235731417,27771307374.102787,99026339231.58408
2031,601,1526792009.3197885,64.11946702782802,29144310267.108795,96997636126.03252
2032,601,1563292511.7241192,64.9591735607242,30408556040.76737,98669332628.69608
