year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,800,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,800,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,800,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,800,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,800,1120937727.856015,56.27508013939988,11186059892.271301,105343694156.11642
2019,800,1145587495.2872825,63.60803757706635,11976486853.230974,101634207383.58498
2020,800,1170779318.7305093,57.6630262033968,12506207173.895994,101308870971.50899
2021,800,1196525118.1650982,56.5173180848642,13123120766.563282,101253574100.06189
2022,800,1222837075.6944892,57.74578341720097,13923726630.855116,100035669608.43443
2023,800,1249727641.3103464,58.5480500071745,14807362458.958445,100102010497.07384
2024,800,1277209538.7834985,60.0350280607884,15786060471.97561,100887707108.65767
2025,800,1305295771.684434,60.0517466108119,16417958487.514719,101863762081.8026
2026,800,1333999629.5361812,61.94375948524572,17337180497.702,103406789058.96182
2027,800,1363334694.102488,61.132738387512454,18201036014.29761,104119516329.63768
2028,800,1393314845.81429,62.95529534910108,19061998014.904175,105115421672.0571
2029,800,1423954270.3374949,64.73071510821077,20565678912.316223,98507012531.20297
2030,800,1455267465.2851899,66.3335352110942,21794112320.503834,95272960707.63638
2031,800,1487269247.0774584,68.48078538859212,22982257800.79372,92871992433.14185
2032,800,1519974757.952052,69.66034430409555,23826016967.918438,94147542968.74884
