year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,728,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,728,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,728,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,728,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,728,1118689370.6412048,56.58916393526637,14781967063.196909,105024733768.05812
2019,728,1140996505.6016264,64.2663417956325,15865945406.37283,101076139006.09235
2020,728,1163748454.183418,58.61555797891555,16446574259.246552,100490215335.0195
2021,728,1186954086.1566374,57.779399136473586,17659930474.150932,100166095650.15054
2022,728,1210622448.1582754,59.337366319682815,18843034597.058975,98744360820.91537
2023,728,1234762767.2190576,60.469594508488264,20161113100.926777,98519950515.22792
2024,728,1259384454.3605673,62.300132950667454,21510124771.29292,99003270756.80354
2025,728,1284497108.2641041,62.64331523808024,22620191995.617622,99664964225.40498
2026,728,1310110519.012699,64.89671063920386,24076692534.648197,100881274608.88736
2027,728,1336234671.9077384,64.40065298246009,25423820541.55006,101255787826.70451
2028,728,1362879751.3617053,66.5943249850932,26804502027.57067,101906994129.05893
2029,728,1390056144.8685348,68.747863962193,28480099671.308907,94956706769.33302
2030,728,1417774447.0531487,70.73222237972784,29775075967.970505,91364742677.2878
2031,728,1446045463.8017256,73.28382620359164,31077627737.61186,88568785070.61429
2032,728,1474880216.4743488,74.84771840260461,32462416229.48752,89452722202.24207
