year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,934,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,934,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,934,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,934,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,934,1118084513.2585042,56.6738749841486,11209962446.450592,104938926430.9343
2019,934,1139763002.174664,64.4441183115861,11851856459.034592,100926197641.97487
2020,934,1161861814.3097897,58.87311910415026,12207532490.58936,100275659327.41855
2021,934,1184389099.2913332,58.121096038819985,12680988601.336033,99875923246.83762
2022,934,1207353164.7594965,59.76882168975911,13346157831.144773,98398737970.8353
2023,934,1230762479.4309351,60.9911610739348,14077125075.410784,98097047175.92491
2024,934,1254625676.2218573,62.9157351491823,14934476341.414309,98500181161.14043
2025,934,1278951555.4316845,63.34853905493411,15400927645.77431,99078698202.72658
2026,934,1303749087.9884403,65.70129724296274,16141160040.479902,100208755388.9221
2027,934,1329027418.7570536,65.29218998723505,16833148548.40876,100495881704.23708
2028,934,1354795869.911818,67.58837051129566,17513645819.49384,101055554902.77211
2029,934,1381063944.3742294,69.84659268646023,18806204664.491623,94014912472.88863
2030,934,1407841329.3174958,71.93683488175583,19942044607.523907,90329328841.2558
2031,934,1435137899.7389712,74.60084558946296,21025187637.255882,87431801961.20415
2032,934,1462963722.1018822,76.27193133482263,21672734256.41046,88213772331.50235
