year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,520,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,520,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,520,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,520,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,520,1145153125.6858983,52.97048868207328,18042252030.018814,108825872172.19409
2019,520,1195617923.1972725,56.76188717175514,19128856006.719166,108291656828.51294
2020,520,1248306611.759321,47.871211021826134,19522537621.907463,111497752466.66122
2021,520,1303317194.1710067,43.692497385869686,21247198364.620316,115118094124.26805
2022,520,1360751992.034862,41.75793504337886,22671798186.341087,117056292266.13112
2023,520,1420717836.0787406,39.46603297154604,24158842914.87172,119524890460.85957
2024,520,1483326264.8646886,37.7972393668694,26083775960.779186,124276614177.92381
2025,520,1548693732.2545743,34.8974711724731,27815147568.91518,129896064712.43794
2026,520,1616941824.0183308,33.605867539588814,29905752916.677277,136053322197.41768
2027,520,1688197483.9877207,30.125684159018313,32191416047.13157,142422815816.48407
2028,520,1762593250.176304,28.814763242310327,34427146102.880745,148445056982.7563
2029,520,1840267501.3047614,27.46462406567257,36710646827.18095,147356048678.19724
2030,520,1920498030.7360303,25.983255750901147,39199356318.71705,149460876679.44568
2031,520,2005112069.4736178,24.91118018242215,41736630762.760086,152433016844.5239
2032,520,2089405348.0363007,23.125838508563,44422085682.27137,159560261480.79266
