year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,779,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,779,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,779,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,779,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,779,1119439246.505771,56.48426995816646,17575665844.547096,105131113970.98233
2019,779,1142526675.6861198,64.04634216896828,18564569907.873543,101262142372.42728
2020,779,1166090262.3603406,58.29701727700601,18832776350.514027,100756534848.36754
2021,779,1190139826.849145,57.3570586341822,20224170317.360325,100527413993.26575
2022,779,1214685392.0085406,58.80440628174611,21426109134.21538,99173888048.1263
2023,779,1239737187.4069417,59.825713532283764,22798854527.33626,99045837406.36583
2024,779,1265305653.588421,61.54062364223854,24246743084.246105,99629249451.02977
2025,779,1291401446.4238985,61.77376034409798,25434472039.975784,100394878626.09482
2026,779,1318035441.5520651,63.905239835298055,26990165327.16501,101719083382.43782
2027,779,1345218738.9118893,63.30270033045101,28428022143.624138,102204329635.44136
2028,779,1372962667.368617,65.37087104422802,29916532087.293484,102969921844.97949
2029,779,1401278789.4351606,67.39638607435,31377556326.71509,96132105677.59401
2030,779,1430178906.0908837,69.25140005049954,32698091703.803337,92657765558.72029
2031,779,1459675061.6997461,71.66580248354862,34055552147.44752,89991531392.33723
2032,779,1489779549.0299048,73.09906082118125,35583077912.9293,91002392944.02148
