year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,328,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,328,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,328,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,328,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,328,1145008432.3338966,44.05643209934944,13223460259.315866,109441797737.41342
2019,328,1195315802.8401814,42.88237832246842,14151092928.496576,110909272400.13968
2020,328,1247833490.2802007,43.259680232891604,14671840828.432434,107171777819.95955
2021,328,1302658607.6793098,41.19255647912995,15460821215.470844,111764618805.47281
2022,328,1359892534.8444967,36.35291617672013,16302078400.86002,120740169726.5927
2023,328,1419641105.8307424,36.03917714812865,17238594423.549683,125253676575.22739
2024,328,1482014804.6439507,35.5118987212511,18205136756.247463,130316379655.28244
2025,328,1545942844.7948751,34.78652348024243,19185361337.174282,135618700296.42783
2026,328,1611345118.6325293,33.88217068666958,20190540882.270214,141224697187.93945
2027,328,1672656530.2652447,31.418273395753975,21221249572.8139,147962102267.14932
2028,328,1734879274.1149552,28.921490357942943,22260571041.336094,155164482724.67834
2029,328,1799427990.7961898,26.403817555682163,23343761158.935856,162951931864.39963
2030,328,1863854605.885839,23.868487739803303,24492226394.941692,170149680515.47934
2031,328,1925727777.3304155,21.32457927929555,25622873178.925705,177170310644.14044
2032,328,1984445925.656346,18.772439545664767,26701279049.294067,183672493736.82074
