year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1316,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1316,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1316,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1316,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1316,1140634851.0869448,49.24173983782143,14312326112.652227,113110018278.37167
2019,1316,1186201762.6029954,46.43856421418396,15156943469.09151,118642200434.29396
2020,1316,1233589014.2771013,42.001167929612784,15702938909.48365,125477982451.77362
2021,1316,1282869326.383268,39.9062632658719,16812768302.05943,126554134787.97853
2022,1316,1331654424.1306493,36.60423839510576,17858230547.603752,130254561517.81519
2023,1316,1381631051.3125484,34.390092662860226,18859785438.814518,134810586594.23885
2024,1316,1439610339.9004786,35.08816348403792,19524132756.142914,129263993701.0661
2025,1316,1492605123.2951381,32.809350807218614,20540464852.27237,134217056938.4402
2026,1316,1543867727.9822454,30.431564199118178,21624355786.598618,139636393765.02728
2027,1316,1592231624.856267,27.80986851218904,22920464342.277454,145861397561.44397
2028,1316,1649488743.411946,25.693419340335677,24117176266.107292,151146661095.45895
2029,1316,1707271561.5689626,23.64696098388663,25326245170.335205,156112642952.74
2030,1316,1769971712.2901177,24.915112603205465,26768503458.70891,160736868559.2193
2031,1316,1830959804.3264658,22.942241467396485,28119563483.783886,166044116176.1634
2032,1316,1890117525.0554042,20.898532738887592,29459297311.280464,171024828593.91977
