year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1515,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1515,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1515,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1515,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1515,1144129226.3507113,48.78592887521352,16670795015.762434,113678166152.94206
2019,1515,1193480837.6242425,45.545431068418004,18096754118.806286,119820389253.13425
2020,1515,1244961213.2708876,40.70404676484745,19054727908.95897,127365630971.33896
2021,1515,1298122085.3636575,38.20488262468523,20894384967.929203,129535534127.23062
2022,1515,1348007440.0037591,34.53087312542471,22497398077.929123,133344299945.82083
2023,1515,1399926989.988567,31.946111885592458,24155972161.9362,138267639397.90204
2024,1515,1463131611.9242804,32.22640750293299,25381427898.98925,135609372815.84122
2025,1515,1519068817.661015,29.598839374691416,27118202316.92807,140671698025.43246
2026,1515,1574876318.2367008,26.889801588327582,29083674609.04148,146341844438.437
2027,1515,1625983006.647364,23.95954146130947,31308948931.228474,152592153067.41995
2028,1515,1684505484.8321977,21.534525903131268,33440639089.605145,158084391314.5143
2029,1515,1741985195.9701824,19.19063520755248,35497031144.71169,162782312064.73804
2030,1515,1806859961.559642,20.045318641343968,37956364296.59265,167729706900.48737
2031,1515,1868817034.3757792,17.788510271104858,40354465951.17863,173217687874.1952
2032,1515,1932014582.4417198,15.476706705931337,42869323063.8605,178608774810.6183
