year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,185,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,185,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,185,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,185,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,185,1142588289.575025,44.36156136961687,13685445910.48832,109048308526.66179
2019,185,1190268193.4280121,43.488304315984664,15294185873.09388,110098004736.54237
2020,185,1239937766.9215617,44.171934729642956,16772771568.626913,113241693226.27933
2021,185,1291680038.4378362,42.3926154810183,18422881563.410927,117445712400.11671
2022,185,1345581501.1111882,37.80310792016232,20173785154.560738,123924735593.33742
2023,185,1401732257.4113433,37.77724445004331,22073206229.62325,127922628217.41135
2024,185,1460226169.7599998,37.53392746228752,24073203864.013763,132314368587.06102
2025,185,1521161017.4326177,37.08748304116833,26179570666.338524,137052563566.2821
2026,185,1584638660.0076833,36.45611186149309,28451164600.636322,142202285357.58533
2027,185,1646559777.6768327,34.228556789721324,30803851581.330696,147920208809.5701
2028,185,1706049861.0013075,31.95729291277577,33121194457.215473,153042813135.78275
2029,185,1766630490.5782702,29.65437823423549,35531171257.64273,158745713382.83804
2030,185,1829337244.764154,27.32296638515091,38127240139.184784,164561524737.4636
2031,185,1893075263.0067356,24.97225984806903,41029778883.50691,171536084827.9596
2032,185,1954343165.3354707,22.602527202046673,43875781669.36271,177853148166.80786
