year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,805,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,805,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,805,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,805,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,805,1135727713.9641182,54.23999176752496,15827869699.514996,107441857062.501
2019,805,1176017374.9894748,59.37461976567865,16664405473.159914,105586458343.4612
2020,805,1217736301.8199883,51.58340121052755,16926337888.687593,107303352478.4653
2021,805,1260935197.3081973,48.52222613514872,18094449812.171726,109354437892.87416
2022,805,1305666562.9778495,47.73863248598699,19120266472.686977,109613518441.58047
2023,805,1351984762.831325,46.55629709529606,20259115744.339832,110976648756.81422
2024,805,1399946089.4205978,46.0043825425585,21664832913.016136,113882405196.09793
2025,805,1449608832.262066,44.11809824295606,22733239290.388035,117197041088.48509
2026,805,1501033348.6783733,43.92279515257031,24138979137.829792,121123996332.14912
2027,805,1554282137.1533182,41.33717897689891,25532503381.5608,124557829588.12
2028,805,1609419913.289028,41.07445194334459,26945372626.54362,128152743091.07559
2029,805,1666513688.4576807,40.754322546953716,28453320650.07298,123175135222.753
2030,805,1725632851.243383,40.2730493941169,30145188357.6143,122725571508.45084
2031,805,1786849251.7731774,40.23359305954385,31866143729.367996,123123864025.92168
2032,805,1850237289.039676,39.37641528213166,33468729435.9312,127621757121.61665
