year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,872,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,872,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,872,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,872,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,872,1129997363.0072641,55.02216110114008,17138282486.223099,106628927981.27292
2019,872,1164180045.838321,60.99513356786104,18350391301.7662,104028025206.40143
2020,872,1199396762.7687309,53.90120778823204,18925263984.83082,104883820526.97955
2021,872,1235678793.570299,51.55791577135459,20559652033.74087,106000740617.65268
2022,872,1273058364.2351942,51.522819311518255,21978306271.979347,105545831260.78038
2023,872,1311568675.5993426,51.072440396059996,23635116607.144505,106639735103.89378
2024,872,1351243932.831668,51.26673978871208,25420459793.82103,108714492111.27919
2025,872,1392119375.8154027,50.06965044174755,27003097233.270985,111042599721.01768
2026,872,1434231310.4484408,50.62627177722625,28997201315.730904,114003104825.94447
2027,872,1477617140.8905215,48.67034668198376,30922184499.046204,116201254177.06987
2028,872,1522315402.7859082,49.14651181906608,32945178213.081417,118744050370.32845
2029,872,1568365797.4910598,49.56268850629736,35072185971.904465,113742088502.58197
2030,872,1615809227.3376927,49.807154262515624,37025109523.33268,112146571062.56062
2031,872,1664687831.9625638,50.524492352717076,39075362829.75286,111452497389.32812
2032,872,1715045025.7362366,50.363073212597776,41370228010.704865,114544306733.47224
