year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,180,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,180,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,180,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,180,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,180,1137448181.5873144,45.0139286833338,18327776709.296314,108212582192.81279
2019,180,1179583075.2894735,44.78807668067258,19691628149.822746,108425481159.88214
2020,180,1223278786.7027433,46.1353117086909,20387242055.418156,110639280291.56491
2021,180,1268593133.747457,44.98399379985963,22143437740.475227,113860506646.11136
2022,180,1315586076.1135383,40.945025323448654,23812763848.18576,119538324486.21323
2023,180,1364319794.5988305,41.55538067206695,25513890143.087784,122395431993.73767
2024,180,1414858773.3863754,41.943947967068326,27255446173.717358,125553539875.57843
2025,180,1467269885.3695242,42.12254831882045,29073683842.921284,128936766225.8644
2026,180,1521622480.637776,42.107278908906736,31012438512.24483,132652021682.86046
2027,180,1577988478.2404246,40.41916938888642,33188018875.604477,137625378428.92773
2028,180,1636442461.349446,38.666969512934934,35543097725.99217,143085998247.42682
2029,180,1695602468.4656682,36.862655326778224,38004691185.72671,148528484505.97806
2030,180,1753699868.3683624,35.008984628019576,40491250403.563614,153547838242.26306
2031,180,1809605039.2574954,33.115213727196036,42975381506.832085,158300338664.37097
2032,180,1867210201.205638,31.181212552599774,45616166435.66509,163330139804.56464
