year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1411,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1411,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1411,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1411,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1411,1135432120.3431184,49.92558925004496,12854143305.51868,112264110157.19273
2019,1411,1175405295.1883924,47.78364849553923,13388141862.425596,116246514217.88338
2020,1411,1216785735.7597127,43.9621419157402,13685737998.455225,119144048108.32387
2021,1411,1259622985.2027354,42.48823324210922,14422419179.649008,119535780398.2953
2022,1411,1303968330.8420846,39.762763639553015,15150247789.19251,123333485815.09628
2023,1411,1349874865.5856135,38.12745812779507,15830549168.620684,127253448283.26294
2024,1411,1397397551.4904196,39.48115180908775,16205836753.377626,120358084902.94379
2025,1411,1446593285.5667143,37.75657686998868,16874258304.233856,124559999376.78984
2026,1411,1495958158.1686687,35.9101376290884,17692090384.228664,129577696373.08684
2027,1411,1540603208.9293137,33.78856599681095,18619855137.4119,135453426721.13118
2028,1411,1590562517.7141457,32.17600239525537,19307334265.485836,139436566625.46838
2029,1411,1642224503.7987192,30.619789508723507,19990184170.32185,143190158572.1584
2030,1411,1698550069.0460944,32.56411529473881,20931725982.086166,146468407992.70972
2031,1411,1754117019.0561168,31.068274466001245,21714358914.46775,150755514419.79575
2032,1411,1811023018.0929937,29.48007619313051,22542126374.223484,155544844579.33344
