year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1268,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1268,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1268,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1268,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1268,1131492822.0416322,50.44755598953905,17968547799.26743,111623622576.91048
2019,1268,1167263478.8601131,48.814458885965124,19225171640.99851,115571729962.22333
2020,1268,1204164977.9290264,45.47099773135302,19814788555.969673,120733797781.62024
2021,1268,1242233069.3382244,44.48291398996848,21398324868.133415,120483494154.09258
2022,1268,1281504633.369614,42.212687236052275,22830257107.958855,122672505150.7286
2023,1268,1322017716.226688,41.038037301134175,24333042199.370533,125770324317.50923
2024,1268,1363811566.8936043,42.916092478256815,25015789352.48832,120102896167.1194
2025,1268,1406926675.1595144,41.640458355931635,26540315480.17756,123248850482.85359
2026,1268,1451404810.844979,40.228473358179635,28277328153.70537,126964795802.10284
2027,1268,1497289064.2684777,38.52007727676561,30340767207.390957,131617771863.12796
2028,1268,1543746759.135163,37.326930107744225,32156616845.094967,134965613744.80092
2029,1268,1591187740.9628716,36.18254660249699,33962165055.2829,137946298929.64032
2030,1268,1641571450.8914433,38.69085389209462,36072812057.587395,140546966895.56332
2031,1268,1692203562.7627637,37.60328401134967,38158410406.66297,144010142487.97775
2032,1268,1744150120.4192286,36.40916039205171,40403486002.8945,147716987895.17807
