year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,69,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,69,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,69,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,69,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,69,1115365857.4004462,47.884954870436395,14690965976.964907,104744306287.95697
2019,69,1134227005.336545,50.57793894226636,15734859895.869156,101739559666.4582
2020,69,1153407100.548201,54.987971477260785,16488291196.670319,100859393873.25108
2021,69,1172911536.5228586,56.811228562932016,17558287794.74656,100623998422.55609
2022,69,1192745797.9533405,55.460881213058656,18496536336.99811,102155635470.18092
2023,69,1212915462.2801561,59.225283120569,19597102950.41186,101452619965.8429
2024,69,1233426201.2598898,62.823393815670734,20736008135.950584,101252851050.99397
2025,69,1254283782.560113,66.2559446910382,21892993774.20466,101258495063.77037
2026,69,1275494071.381265,69.52931032904766,23067354023.304306,101338055489.72687
2027,69,1297063032.1059628,70.83196879028118,24169696972.89805,101465250228.5439
2028,69,1318996729.9761968,72.04024220872097,25292330767.261063,101685383110.17891
2029,69,1341301332.7988915,73.16346090933264,26405081761.414394,101937559761.88141
2030,69,1363983112.68031,74.20003631674724,27540289914.034023,102156276730.25835
2031,69,1387048447.7897809,75.15701628479742,28751218157.537106,102689863901.74428
2032,69,1410503824.1532571,76.02962360161985,29952979836.789856,103130797116.18799
