year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,354,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,354,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,354,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,354,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,354,1140679291.2929423,44.6031594899272,14814807409.38847,108737925916.13618
2019,354,1186294195.4750023,43.96897953955704,16401966115.766487,109475961518.69191
2020,354,1233733205.2574885,44.896989105618914,17733497815.001205,112272436325.99335
2021,354,1283069265.2470195,43.3482229054687,19448631557.83171,116103218859.87473
2022,354,1334378237.0499942,38.96008467803859,21229856350.11075,122519420554.83171
2023,354,1387739015.9212122,39.16651882463055,23113762291.125458,125673940605.30966
2024,354,1443233652.077182,39.15324093313593,25091088058.710052,129590792573.50734
2025,354,1500947476.8606606,38.93366583109245,27166160246.70109,133796834749.00948
2026,354,1560969233.950419,38.52523518533563,29382221756.67256,138401244223.49078
2027,354,1623171243.4635534,36.49194923609687,31859404567.1474,144388941906.98346
2028,354,1683378906.921238,34.40694942491219,34323449622.108242,149843103837.07108
2029,354,1741293633.3865433,32.282296249405874,36715677384.02672,154696810119.4346
2030,354,1800767387.6199749,30.121031716906177,39278256877.88646,160141384614.4151
2031,354,1862245878.3941026,27.932410952315745,42080171869.30214,166020067598.50784
2032,354,1925242534.0623713,25.716590789342263,45133157681.4443,172595283737.4912
