year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,817,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,817,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,817,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,817,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,817,1131545722.4682488,54.81003531157879,12884478876.65524,106848584062.28902
2019,817,1167372627.0195446,60.554837109129046,13782804812.691893,104444099656.01848
2020,817,1204333879.9796062,53.27029611633033,14336387984.126833,105527252348.9457
2021,817,1242465396.9914007,50.73007503457468,15256886989.1276,106885207487.22229
2022,817,1281804230.855931,50.48896536112865,16226446619.857119,106591155422.51762
2023,817,1322388607.5368407,49.836348740852976,17325203673.401314,107783599143.12257
2024,817,1364257963.3049843,49.82376491580716,18579514915.067596,110090312361.33676
2025,817,1407452983.0590746,48.43470482952007,19513102100.80655,112663641518.6013
2026,817,1452015639.8596349,48.78139685871285,20770848324.85725,115883232630.1465
2027,817,1497989235.7146623,46.64848542428369,21984725819.05288,118354955957.0537
2028,817,1545418443.6566556,46.91686458505727,23229618094.782146,121186462929.07065
2029,817,1594349351.1518707,47.1252238818404,24971608915.433323,116489023771.27522
2030,817,1644829504.8840082,47.164056493286004,26535987127.6747,115214543401.52023
2031,817,1696907956.955828,47.66640099998835,28103863376.06063,114848532767.83932
2032,817,1750635312.5536008,47.30620302152946,29454093268.29454,118295560745.938
