year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,1453,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,1453,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,1453,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,1453,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,1453,1141289389.6137464,49.15614851504235,16616015922.235775,113216439210.51447
2019,1453,1187563526.2229922,46.270645020887684,17601736229.92662,118217732406.98576
2020,1453,1235713870.3379052,41.75699162831907,18085679695.1691,125346744626.45232
2021,1453,1285816493.7096236,39.58558984951212,19369528739.339005,125072111257.94687
2022,1453,1334928707.269215,36.21296936755492,20648935567.201553,129816624077.87616
2023,1453,1385036829.8233669,33.92831248127501,21838683895.338776,134549966205.90303
2024,1453,1444570748.0143225,34.54677672480672,22576242080.408073,130297789309.7685
2025,1453,1497519045.801069,32.20123477783227,23771783989.644146,135257453697.1652
2026,1453,1549618384.4749627,29.759874710128663,25113611363.43363,140813861018.69473
2027,1453,1598878408.3027158,27.07875759322353,26723268082.834103,147135924241.35016
2028,1453,1657094472.2773466,24.902741328303144,28246905121.216953,152673133520.4858
2029,1453,1714304320.4800045,22.798689839361437,29674831173.211483,157557067013.66742
2030,1453,1777897172.3975837,23.986993065957925,31420157141.0299,162338590110.2351
2031,1453,1838192374.4143062,21.958795892195106,33082720672.1679,167388258304.43643
2032,1453,1897829356.0437868,19.862653667840373,34760524315.74765,172446370659.62054
